Plot_ID,vol_cubft,ba_ac,crd,elev_min_3p2808plus_75FEET,elev_max_3p2808plus_75FEET,elev_ave_3p2808plus_75FEET,elev_stddev_3p2808plus_75FEET,elev_CV_3p2808plus_75FEET,elev_IQ_3p2808plus_75FEET,elev_AAD_3p2808plus_75FEET,elev_P01_3p2808plus_75FEET,elev_P05_3p2808plus_75FEET,elev_P10_3p2808plus_75FEET,elev_P20_3p2808plus_75FEET,elev_P25_3p2808plus_75FEET,elev_P30_3p2808plus_75FEET,elev_P40_3p2808plus_75FEET,elev_P50_3p2808plus_75FEET,elev_P60_3p2808plus_75FEET,elev_P70_3p2808plus_75FEET,elev_P75_3p2808plus_75FEET,elev_P80_3p2808plus_75FEET,elev_P90_3p2808plus_75FEET,elev_P95_3p2808plus_75FEET,elev_P99_3p2808plus_75FEET,First_cover_above6p5616_75FEET,all_cover_above6p5616_75FEET,all_1st_cover_above6p5616_75FEET,First_cover_above_mean_75FEET,all_cover_above_mean_75FEET,all_1st_cover_above_mean_75FEET
103_A15,5957.6,275.881145,48.42099095,3.3,276.98,139.7405,80.7949,0.5782,133.54,70.0627,6.3432,12.22,16.322,60.072,78.37,93.98,111.506,135.63,170.642,203.968,211.91,225.836,247.306,260.444,272.9788,97.7901,93.2135,155.9853,48.7825,46.6495,78.0643
101_22,25820.2,400.578377,64.04832631,4.46,268.82,166.3602,57.7429,0.3471,97.545,50.0415,26.064,76.12,90.76,110.44,119.315,129.8,146.69,170.08,193.91,210.08,216.86,223.13,238.86,248.79,263.179,99.5422,96.1742,166.2258,58.6979,48.764,84.2828
103_A20,41964.8,836.0476317,132.258296,3.44,274.32,154.5125,75.3547,0.4877,132.81,64.8893,12.38,23.537,32.27,62.4,83.19,122.3,155.512,176.41,198.184,210.55,216,222.32,236.49,244.41,261.25,99.2915,97.6557,139.0653,65.8673,59.2001,84.303
103_27,30520,588.7829056,94.61965659,3.35,284.48,139.4326,82.5676,0.5922,161.215,74.5503,14.68,19.59,26.546,45.18,54.28,66.446,104.802,150.05,182.654,208.342,215.495,221.752,242.82,252.621,274.4944,100,98.8471,178.1454,57.2528,52.3484,94.344
101_28,55734.4,846.6854137,133.5184296,3.39,256.47,175.4346,57.1496,0.3258,54.975,42.9351,12.39,32.132,83.6,143.952,159.435,170.856,182.876,194.44,202.13,210.032,214.41,218.14,226.684,233.807,246.0348,99.8588,97.0658,174.435,85.1695,64.4485,115.8192
103_13,16080,233.1096693,42.67390387,3.39,258.04,145.5108,79.3964,0.5456,136.32,69.4518,5.9668,13.824,17.964,42.524,76.06,103.374,143.328,169.99,191.754,207.249,212.38,218.13,231.265,242.623,253.8233,98.0728,94.587,172.1199,67.2377,56.8369,103.4261
102_07,40598,688.1008683,111.8256926,3.34,259.07,154.6959,71.0425,0.4592,109.11,60.6965,6.3376,21.359,32.482,79.908,105.065,120.8,156.012,175.75,195.22,208.91,214.175,218,226.41,239.77,252.8218,99.4708,96.0712,188.4208,69.9196,58.6832,115.0931
103_24,12553,261.4765061,51.47418488,3.34,287.17,133.2161,79.7115,0.5984,139.36,72.7096,5.7232,8.963,27.35,62.594,71.5,78.118,88.22,106.15,175.488,201.322,210.86,217.52,233.19,254.071,277.2606,97.5796,92.4328,154.4431,52.7251,44.7602,74.7884
103_09,27715.2,485.1225637,73.94022443,3.33,267.98,141.8555,81.7754,0.5765,147.51,72.7887,6.0662,12.6305,17.792,38.592,64.88,77.382,135.136,172.855,189.488,204.473,212.39,217.516,234.16,244.808,259.9542,97.9582,92.4908,164.0371,62.2738,54.0816,95.9165
102_30,27731.2,461.9978234,74.08133549,3.55,258.51,160.4101,62.2087,0.3878,96.16,51.8524,10.5952,38.996,68.666,94.702,114.69,131.842,154.69,172.66,190.556,205.72,210.85,217.41,231.014,240.08,251.934,97.9596,93.5298,155.6994,64.1358,54.0955,90.053
103_11,32415.6,747.651067,109.9008523,3.3,267.39,147.5435,77.8046,0.5273,125.71,66.5822,5.261,12.684,19.12,51.236,83.28,112.62,147.63,167.77,190.13,202.618,208.99,216.232,235.7,248.374,262.0038,98.4632,96.6036,143.5749,64.4048,59.036,87.7409
103_02,14897.4,354.1547998,69.44556353,3.4,242.05,132.0306,82.4332,0.6243,165.3925,76.1747,4.696,10.84,14.945,32.65,44.3325,60.635,99.26,153.94,189.94,204.965,209.725,216.02,224.955,230.49,238.478,97.3179,94.5801,149.9848,53.3374,51.8355,82.2005
102_20,26068.6,503.9585936,90.47858474,3.33,251.07,155.5644,67.1123,0.4314,124.78,58.6067,11.5664,33.103,50.844,78.16,87.03,105.764,156.032,182,195.51,206.94,211.81,215.062,225.254,230.981,243.7026,96.5723,92.4628,160.8609,69.3503,56.0825,97.5688
101_19,34349.2,633.5767816,123.554512,3.42,238.91,171.3249,57.7529,0.3371,43.0725,42.8863,7.4902,41.2065,68.02,145.834,162.765,170.597,180.142,189,196.57,202.821,205.8375,212.86,228.432,234.44,237.58,99.5351,98.1066,140.5269,84.5409,68.2445,97.7528
102_A04,28756.2,465.1215265,90.08489784,3.31,243.3,164.2855,64.1486,0.3905,61.3425,49.9972,5.61,19.359,43.985,131.14,146.6725,159.99,178.88,188.83,195.202,203.52,208.015,211.3,220.841,229.16,236.8694,99.2445,97.1714,160.4396,82.761,66.8885,110.4396
93_22,25904,423.4936778,63.80166984,3.3,286.35,133.34,75.5174,0.5664,129.61,65.4181,3.93,8.0705,17.7,62.694,74.86,87.223,108.44,131.02,165.446,193.157,204.47,211.08,230.729,240.9665,256.7032,93.2203,90.5022,138.7039,53.9781,46.6042,71.4257
102_15,28493.6,538.3001289,98.79949336,3.35,300.41,146.7148,69.782,0.4756,110.38,58.3905,10.259,34.25,49.88,77.242,89.37,100.984,130.31,150.33,166.97,188.99,199.75,210.63,243,262.19,285.2666,99.7092,97.6988,177.7956,64.2431,50.4674,91.8424
101_10,25509.4,438.0999022,87.5314673,3.46,238.22,165.3921,54.8922,0.3319,65.495,43.2535,9.9907,41.9555,72.683,120.248,140.1725,158.107,170.44,182.71,193.874,200.993,205.6675,210.312,218.886,224.148,231.3247,97.7778,94.3873,169.9471,80.1058,60.3879,108.7302
103_06,24030.6,461.172719,84.65397656,3.29,251.3,133.8998,80.0603,0.5979,158.98,72.8121,5.48,11.454,18.782,30.786,44.52,57.752,129.612,164.86,184.178,197.916,203.5,210.096,220.422,229.86,242.282,96.8065,95.3979,131.3011,59.8047,57.4497,79.071
